wrestler_id,wrestler_name,brand,debut_year,years_active,total_matches,world_title_reigns,secondary_title_reigns,tag_title_reigns,total_title_reigns,current_champion,win_rate,finisher_popularity,social_media_followers_millions,main_evented_ppv,age,weight_class,popularity_tier
43,Eddie Edwards,Impact,2008,17,888,6,1,5,12,0,0.75,0.91,0.26,30,24,Openweight,Main Eventer
44,Deonna Purrazzo,Impact,2000,25,474,5,4,1,10,0,0.54,2.12,0.71,0,36,Heavyweight,Midcard
45,Tasha Steelz,Impact,2011,14,230,6,4,3,13,1,0.47,4.27,2.08,29,29,Openweight,Upper Midcard
46,Alex Shelley,Impact,2015,10,374,6,3,4,13,0,0.8,2.25,4.09,28,41,Cruiserweight,Main Eventer
47,Chris Bey,Impact,2013,12,315,6,1,6,13,0,0.73,2.7,2.84,17,36,Junior Heavyweight,Main Eventer
48,Heath,Impact,2000,25,342,1,2,2,5,0,0.62,0.86,1.08,9,44,Cruiserweight,Upper Midcard
49,Mike Bailey,Impact,2000,25,467,2,4,3,9,0,0.45,2.22,4.08,37,35,Heavyweight,Main Eventer
50,Gisele Shaw,Impact,2016,9,538,0,2,2,4,0,0.78,4.78,1.91,34,34,Openweight,Main Eventer
51,Giulia,Stardom,2005,20,274,2,3,3,8,1,0.52,3.46,1.85,10,37,Junior Heavyweight,Upper Midcard
52,Mayu Iwatani,Stardom,2002,23,596,0,3,4,7,0,0.36,3.29,0.65,29,41,Cruiserweight,Enhancement
53,Starlight Kid,Stardom,1999,26,438,2,1,3,6,0,0.73,2.02,3.4,26,30,Women's,Main Eventer
54,Utami Hayashishita,Stardom,2000,25,69,5,4,0,9,0,0.52,3.32,3.53,2,37,Heavyweight,Main Eventer
55,KAIRI,Stardom,2005,20,70,4,1,1,6,0,0.68,2.91,1.02,16,28,Women's,Upper Midcard
56,Saya Kamitani,Stardom,2003,22,671,5,0,6,11,0,0.83,0.72,0.16,19,41,Openweight,Main Eventer
57,Himeka,Stardom,2010,15,782,1,0,4,5,0,0.66,0.69,3.49,38,34,Heavyweight,Main Eventer
58,Momo Watanabe,Stardom,2016,9,405,4,3,5,12,0,0.6,1.84,3.83,31,23,Heavyweight,Main Eventer
59,Tam Nakano,Stardom,2011,14,700,6,3,5,14,0,0.44,2.7,2.94,39,33,Openweight,Main Eventer
60,Natsupoi,Stardom,2013,12,496,6,4,2,12,0,0.47,4.69,1.29,28,36,Cruiserweight,Upper Midcard
61,Jacob Fatu,MLW,2012,13,674,5,3,2,10,1,0.78,1.07,0.99,16,40,Women's,Main Eventer
62,Terry Funk MLW,MLW,2006,19,768,2,4,0,6,0,0.45,1.36,1.86,35,41,Cruiserweight,Upper Midcard
63,Alexander Hammerstone,MLW,2013,12,778,3,3,6,12,1,0.5,2.14,1.13,37,42,Women's,Midcard
64,Tom Lawlor,MLW,2013,12,593,2,3,5,10,0,0.53,2.38,1.41,14,39,Heavyweight,Upper Midcard
65,LA Park,MLW,2004,21,172,5,4,6,15,0,0.45,3.75,1.28,37,32,Openweight,Upper Midcard
66,Davey Boy Smith Jr,MLW,2017,8,152,6,1,2,9,0,0.44,0.27,2.43,17,31,Heavyweight,Upper Midcard
67,Mance Warner,MLW,1999,26,349,5,1,5,11,0,0.6,4.39,2.6,30,39,Junior Heavyweight,Main Eventer
68,Low Ki,MLW,2012,13,238,0,2,6,8,0,0.76,2.12,0.38,40,32,Heavyweight,Main Eventer
69,Mads Krügger,MLW,2002,23,880,4,2,0,6,0,0.41,3.87,2.75,39,26,Cruiserweight,Main Eventer
70,John Hennigan,MLW,2014,11,511,3,2,6,11,0,0.56,2.93,0.32,6,34,Cruiserweight,Upper Midcard
71,Ultimo Guerrero,CMLL,2018,7,320,5,0,1,6,0,0.63,0.95,1.87,38,28,Junior Heavyweight,Upper Midcard
72,Atlantis,CMLL,2007,18,287,2,2,5,9,0,0.39,1.32,1.23,40,23,Openweight,Upper Midcard
73,Volador Jr,CMLL,2004,21,167,4,1,5,10,0,0.48,0.88,0.32,19,35,Openweight,Midcard
74,Euforia,CMLL,2016,9,499,0,3,5,8,0,0.55,1.51,2.45,28,31,Heavyweight,Upper Midcard
75,Blue Panther,CMLL,2017,8,492,5,2,4,11,0,0.4,4.82,3.77,36,23,Openweight,Main Eventer
76,Mephisto,CMLL,1998,27,891,2,4,0,6,0,0.44,2.69,2.02,17,43,Cruiserweight,Upper Midcard
77,Soberano Jr,CMLL,2016,9,700,6,3,0,9,0,0.55,1.74,0.52,10,35,Women's,Midcard
78,Caristico,CMLL,2011,14,557,2,3,6,11,0,0.37,0.62,1.17,7,44,Junior Heavyweight,Enhancement
79,Magnus,CMLL,2014,11,723,6,4,3,13,0,0.44,1.94,3.42,40,22,Junior Heavyweight,Main Eventer
80,Titán,CMLL,1999,26,323,4,1,2,7,0,0.7,0.78,4.38,38,28,Cruiserweight,Main Eventer
81,Nick Aldis,NWA,2003,22,614,0,4,3,7,0,0.85,4.58,2.1,7,31,Cruiserweight,Main Eventer
82,Trevor Murdoch,NWA,2013,12,348,4,2,3,9,0,0.84,1.37,2.5,24,44,Cruiserweight,Main Eventer
83,Kamille,NWA,2017,8,814,1,0,2,3,0,0.78,1.83,3.56,17,38,Heavyweight,Main Eventer
84,Abyss NWA,NWA,2007,18,651,4,3,6,13,0,0.62,1.86,2.51,34,31,Junior Heavyweight,Main Eventer
85,Tim Storm,NWA,2012,13,243,5,1,4,10,0,0.78,2.17,1.47,30,32,Junior Heavyweight,Main Eventer
86,Thunder Rosa NWA,NWA,2010,15,861,6,1,3,10,0,0.41,4.83,1.53,6,43,Junior Heavyweight,Upper Midcard
87,Ricky Starks NWA,NWA,2001,24,517,0,1,3,4,0,0.83,0.56,3.53,16,38,Women's,Main Eventer
88,Jax Dane,NWA,2017,8,457,5,0,6,11,0,0.69,2.76,4.3,40,44,Junior Heavyweight,Main Eventer
89,Zicky Dice,NWA,2015,10,682,0,1,5,6,0,0.49,1.29,0.45,6,23,Heavyweight,Midcard
90,Aron Stevens,NWA,2012,13,760,2,0,0,2,0,0.38,1.92,1.97,15,27,Openweight,Upper Midcard
91,Super Dragon,PWG,2011,14,748,6,1,1,8,0,0.65,2.04,3.09,31,40,Openweight,Main Eventer
92,Kevin Steen,PWG,2002,23,522,5,2,3,10,0,0.35,4.06,4.06,34,29,Cruiserweight,Main Eventer
93,El Generico,PWG,2000,25,403,4,2,5,11,0,0.7,2.39,1.39,24,36,Junior Heavyweight,Upper Midcard
94,Bobby Fish,PWG,2001,24,440,4,2,4,10,0,0.7,0.31,3.74,25,29,Women's,Main Eventer
95,Adam Cole,PWG,1998,27,752,6,0,4,10,0,0.77,4.53,3.5,14,40,Openweight,Main Eventer
96,Ricochet,PWG,2009,16,701,1,4,2,7,0,0.71,3.36,3.78,40,29,Heavyweight,Main Eventer
97,Matt Sydal,PWG,2018,7,90,2,3,0,5,0,0.72,0.63,1.36,26,42,Cruiserweight,Main Eventer
98,Zack Sabre Jr,PWG,2004,21,855,4,2,4,10,0,0.49,0.99,4.12,30,26,Women's,Main Eventer
99,Trent?,PWG,2008,17,529,0,1,6,7,0,0.78,3.68,4.41,35,25,Women's,Main Eventer
100,Jonathan Gresham PWG,PWG,2000,25,64,2,4,0,6,0,0.69,3.43,2.65,40,34,Women's,Main Eventer
101,Johnny Gunn,Indie,2001,24,289,3,0,4,7,0,0.63,4.59,1.04,4,43,Junior Heavyweight,Upper Midcard
102,Ethan Page,Indie,2007,18,468,0,1,0,1,0,0.5,2.56,0.48,34,42,Cruiserweight,Midcard
103,Marty Scurll,Indie,2010,15,429,5,4,3,12,0,0.71,4.45,2.96,31,36,Openweight,Main Eventer
104,Nick Gage,Indie,2011,14,83,5,2,1,8,0,0.83,4.31,0.49,23,30,Openweight,Main Eventer
105,Joey Janela,Indie,2018,7,112,3,2,1,6,0,0.82,4.16,0.46,13,33,Openweight,Main Eventer
106,Zack Gibson,Indie,1998,27,855,2,1,1,4,0,0.45,4.18,2.52,37,23,Cruiserweight,Main Eventer
107,Flash Morgan Webster,Indie,2005,20,842,1,4,0,5,0,0.84,4.94,2.45,11,32,Heavyweight,Main Eventer
108,Mark Haskins,Indie,1998,27,65,2,1,4,7,0,0.44,0.45,3.35,33,26,Heavyweight,Main Eventer
109,Spike Trivet,Indie,2000,25,509,6,2,4,12,0,0.58,1.26,2.79,33,37,Women's,Main Eventer
110,Jinny,Indie,2012,13,81,0,3,6,9,0,0.69,2.55,4.1,4,42,Heavyweight,Main Eventer
111,Zoe Blade,Stardom,2002,23,291,4,2,3,9,0,0.54,2.32,2.12,3,43,Heavyweight,Upper Midcard
112,Charlotte Ricci,Indie,2006,19,472,1,3,2,6,0,0.46,3.68,1.09,10,43,Women's,Upper Midcard
113,Miguel Rider,Stardom,2015,10,103,0,0,3,3,0,0.68,4.08,1.95,18,29,Openweight,Upper Midcard
114,Rosa Rider,NWA,2003,22,372,3,0,2,5,0,0.43,2.93,0.74,21,46,Junior Heavyweight,Enhancement
115,Marcus Lopez,AAA,2017,8,127,2,1,3,6,0,0.83,4.11,2.15,20,31,Openweight,Main Eventer
116,Zoe Watson,AEW,2021,4,283,0,1,2,3,0,0.4,1.77,0.02,27,33,Cruiserweight,Enhancement
117,Nina Black,PWG,2004,21,658,0,0,5,5,0,0.44,2.32,0.55,9,50,Women's,Enhancement
118,Zoe Black,PWG,2001,24,171,4,0,5,9,0,0.49,2.18,2.12,13,44,Women's,Upper Midcard
119,Sofia Storm,AAA,2011,14,123,2,3,4,9,0,0.23,2.04,2.1,0,38,Cruiserweight,Upper Midcard
120,Taylor Costello,Impact,2004,21,271,2,2,0,4,1,0.69,0.96,1.33,22,51,Cruiserweight,Upper Midcard
121,Charlotte Parker,NWA,2021,4,372,0,3,5,8,0,0.21,4.61,3.02,18,34,Junior Heavyweight,Main Eventer
122,Nina Valen,PWG,2020,5,306,0,3,0,3,0,0.31,4.74,1.61,22,29,Women's,Upper Midcard
123,Hana Grimes,NJPW,2003,22,456,4,3,4,11,0,0.77,3.75,0.78,24,43,Cruiserweight,Main Eventer
124,Sofia Fox,NJPW,2003,22,532,1,2,2,5,0,0.73,4.09,0.83,4,48,Women's,Main Eventer
125,Riley Knight,AAA,2004,21,787,0,1,5,6,0,0.69,3.82,1.57,29,51,Openweight,Upper Midcard
126,Dahlia Garcia,Indie,2020,5,164,3,0,3,6,0,0.4,1.45,0.2,16,28,Heavyweight,Enhancement
127,Yumi Anderson,Impact,2001,24,387,2,0,5,7,0,0.76,3.11,1.77,14,42,Openweight,Main Eventer
128,Sam Anderson,NWA,2018,7,202,2,3,4,9,0,0.24,0.61,3.15,10,35,Heavyweight,Main Eventer
129,Riley King,NWA,2007,18,458,3,1,2,6,0,0.38,2.1,1.18,19,47,Heavyweight,Upper Midcard
130,Rosa Black,Indie,2010,15,581,3,2,2,7,0,0.63,4.54,3.06,10,34,Heavyweight,Main Eventer
131,Miguel Watson,PWG,2011,14,681,3,1,4,8,0,0.26,2.84,2.25,10,36,Cruiserweight,Main Eventer
132,Ariana Black,Indie,2020,5,443,4,2,0,6,0,0.32,1.15,3.32,15,33,Cruiserweight,Main Eventer
133,Carlos Blade,AAA,2002,23,113,4,0,5,9,0,0.7,0.74,1.32,5,45,Cruiserweight,Upper Midcard
134,Lance Ricci,PWG,2014,11,430,2,1,3,6,0,0.69,3.94,0.82,7,29,Women's,Upper Midcard
135,Jordan Lopez,CMLL,2021,4,461,3,2,3,8,0,0.47,0.89,0.7,19,31,Cruiserweight,Midcard
136,Nick Fox,Impact,2015,10,577,0,0,2,2,0,0.3,2.3,1.8,26,33,Junior Heavyweight,Upper Midcard
137,Casey Parker,NJPW,2014,11,37,3,0,3,6,0,0.35,4.97,1.31,0,34,Women's,Upper Midcard
138,Rosa Fletcher,NJPW,2004,21,49,2,3,5,10,0,0.69,2.4,2.15,28,41,Heavyweight,Upper Midcard
139,Noah Molina,AEW,2004,21,754,4,3,0,7,0,0.35,0.7,0.83,20,47,Openweight,Enhancement
140,Tony Storm,CMLL,2015,10,558,0,1,5,6,0,0.48,3.11,0.84,13,37,Cruiserweight,Midcard
141,Dante Cruz,Indie,2011,14,548,4,0,3,7,0,0.23,2.0,1.31,23,33,Heavyweight,Upper Midcard
142,Tony Lopez,Stardom,2007,18,682,0,2,1,3,0,0.55,4.09,0.61,24,47,Junior Heavyweight,Midcard
143,Riley Fletcher,CMLL,2004,21,743,3,0,2,5,0,0.71,4.44,1.1,9,40,Openweight,Upper Midcard
144,Becky Brooks,MLW,2008,17,781,1,2,2,5,0,0.23,3.31,0.96,25,35,Women's,Enhancement
145,Nina Ricci,MLW,2014,11,357,1,3,5,9,0,0.8,2.64,2.8,23,35,Junior Heavyweight,Main Eventer
146,Hana Knight,NJPW,2005,20,310,2,0,0,2,0,0.39,2.28,2.51,5,46,Junior Heavyweight,Main Eventer
147,Sakura King,Stardom,2023,2,639,3,2,5,10,0,0.82,0.47,2.23,11,25,Openweight,Main Eventer
148,Lance Stone,Indie,2004,21,704,3,0,1,4,0,0.71,1.9,1.34,18,48,Heavyweight,Upper Midcard
149,Sakura Lopez,PWG,2011,14,791,0,1,4,5,0,0.4,1.47,3.36,0,39,Cruiserweight,Main Eventer
150,Ariana Harrison,CMLL,2017,8,278,2,3,1,6,0,0.39,4.59,1.72,3,27,Cruiserweight,Upper Midcard
151,Sakura Reyes,NJPW,2022,3,99,2,2,5,9,0,0.55,4.47,2.98,22,28,Cruiserweight,Main Eventer
152,Sofia Rivera,Stardom,2003,22,152,1,3,0,4,0,0.57,2.39,3.44,4,43,Openweight,Main Eventer
153,Tony Martinez,NJPW,2012,13,746,3,3,3,9,0,0.25,4.86,2.25,14,42,Junior Heavyweight,Main Eventer
154,Ariana Lopez,Indie,2004,21,574,4,1,1,6,0,0.79,0.37,0.43,4,51,Women's,Main Eventer
155,Lance Garcia,ROH,2022,3,364,4,2,0,6,0,0.61,2.8,0.44,9,24,Openweight,Upper Midcard
156,Lance Morales,NWA,2018,7,185,4,2,4,10,0,0.76,0.5,3.32,24,27,Openweight,Main Eventer
157,Emma Murphy,Impact,2019,6,41,3,2,5,10,0,0.51,4.04,2.4,9,34,Junior Heavyweight,Main Eventer
158,Nick Reyes,NJPW,2014,11,505,3,1,2,6,0,0.4,3.62,2.57,27,35,Women's,Main Eventer
159,Carlos Costello,MLW,2011,14,585,0,2,1,3,0,0.37,1.31,0.34,9,40,Junior Heavyweight,Enhancement
160,Kira Rivera,PWG,2005,20,601,2,1,1,4,0,0.53,2.54,1.08,0,43,Heavyweight,Upper Midcard
161,Sofia Anderson,MLW,2007,18,607,2,0,0,2,0,0.59,4.23,2.35,9,39,Openweight,Main Eventer
162,Marcus Murphy,AEW,2004,21,754,2,3,2,7,0,0.23,2.85,1.27,9,43,Heavyweight,Upper Midcard
163,Charlotte Santos,MLW,2019,6,635,0,1,0,1,0,0.72,1.76,3.29,24,34,Cruiserweight,Main Eventer
164,Zoe Cruz,AAA,2012,13,51,0,0,1,1,0,0.72,2.64,0.52,28,39,Openweight,Upper Midcard
165,Sierra Watson,ROH,2019,6,176,3,2,4,9,0,0.74,2.71,2.48,9,29,Junior Heavyweight,Main Eventer
166,Luna Garcia,AEW,2021,4,436,4,2,5,11,0,0.61,3.02,0.93,20,23,Openweight,Upper Midcard
167,Casey Ricci,PWG,2001,24,501,1,3,1,5,0,0.36,2.91,2.45,6,51,Heavyweight,Main Eventer
168,Sierra Murphy,CMLL,2004,21,717,1,3,4,8,0,0.8,4.38,2.58,1,45,Cruiserweight,Main Eventer
169,Taylor Vega,NWA,2010,15,499,4,3,2,9,0,0.5,2.71,1.91,21,43,Women's,Upper Midcard
170,Valentina Molina,PWG,2007,18,581,2,1,2,5,0,0.66,3.48,1.71,15,40,Women's,Upper Midcard
171,Evan Martinez,NWA,2003,22,702,4,3,3,10,0,0.82,4.04,1.02,9,49,Heavyweight,Main Eventer
172,Sakura Fox,Stardom,2008,17,500,1,1,4,6,0,0.57,1.43,0.38,23,46,Openweight,Upper Midcard
173,Logan King,AAA,2021,4,241,1,0,0,1,0,0.67,0.59,2.7,0,30,Openweight,Main Eventer
174,Kira Fox,ROH,2015,10,676,1,2,2,5,0,0.24,3.87,2.28,7,35,Openweight,Main Eventer
175,Riley Murphy,AEW,2005,20,416,3,1,5,9,0,0.8,4.4,0.03,18,38,Openweight,Main Eventer
176,Rosa Martinez,NJPW,2014,11,566,4,3,1,8,0,0.5,1.04,0.39,5,39,Junior Heavyweight,Midcard
177,Noah Valen,Indie,2005,20,764,2,2,4,8,0,0.33,3.09,2.24,12,38,Junior Heavyweight,Main Eventer
178,Sierra Black,NWA,2012,13,107,1,1,3,5,0,0.36,1.38,0.82,24,41,Women's,Enhancement
179,Aaron Morales,Stardom,2023,2,21,2,2,5,9,0,0.63,2.38,0.56,21,29,Openweight,Upper Midcard
180,Diego Fox,Impact,2009,16,639,1,1,1,3,0,0.5,4.95,1.31,22,39,Openweight,Upper Midcard
181,Becky Fletcher,CMLL,2021,4,790,1,0,4,5,0,0.66,0.48,1.97,1,25,Openweight,Upper Midcard
182,Jordan Morales,NWA,2017,8,178,2,3,0,5,0,0.67,2.5,3.15,14,28,Heavyweight,Main Eventer
183,Carlos Cruz,CMLL,2013,12,587,0,3,5,8,0,0.67,2.04,2.86,23,37,Cruiserweight,Main Eventer
184,Tony King,PWG,2013,12,727,0,0,0,0,0,0.51,1.51,0.63,4,35,Junior Heavyweight,Midcard
185,Ivy Anderson,Stardom,2012,13,92,4,1,5,10,0,0.28,4.96,1.38,4,37,Cruiserweight,Upper Midcard
186,Chris Martinez,AEW,2014,11,746,4,3,4,11,0,0.35,2.36,0.54,6,39,Heavyweight,Enhancement
187,Kira Knight,AEW,2000,25,221,0,0,4,4,1,0.59,3.55,0.17,23,46,Heavyweight,Upper Midcard
188,Sakura Rivera,MLW,2017,8,782,0,1,4,5,0,0.35,4.59,2.02,18,29,Openweight,Upper Midcard
189,Sierra Rivera,Indie,2009,16,686,4,1,3,8,0,0.24,4.75,3.08,29,36,Cruiserweight,Main Eventer
190,Hana Vega,Indie,2015,10,362,3,2,5,10,0,0.3,1.94,2.64,15,28,Cruiserweight,Main Eventer
191,Aaron Grimes,AAA,2022,3,484,0,3,3,6,0,0.29,1.29,0.71,20,23,Heavyweight,Enhancement
192,Luna Black,CMLL,2017,8,205,0,2,3,5,0,0.59,4.38,0.66,24,37,Openweight,Upper Midcard
193,Charlotte Molina,Indie,2015,10,350,2,0,1,3,0,0.83,0.67,3.5,15,31,Cruiserweight,Main Eventer
194,Taylor Harrison,PWG,2007,18,339,2,3,3,8,0,0.43,1.38,1.79,15,44,Junior Heavyweight,Upper Midcard
195,Valentina Costello,NJPW,2010,15,389,2,3,0,5,0,0.34,0.82,0.91,29,36,Openweight,Enhancement
196,Kira Martinez,PWG,2004,21,347,1,3,4,8,0,0.52,3.31,2.4,8,42,Junior Heavyweight,Main Eventer
197,Isabella Anderson,Indie,2005,20,370,1,1,5,7,0,0.32,4.46,3.47,30,49,Heavyweight,Main Eventer
198,Sam Parker,NWA,2002,23,59,0,3,1,4,0,0.35,3.57,0.03,16,51,Junior Heavyweight,Enhancement
199,Nick Knight,Stardom,2020,5,641,3,3,0,6,1,0.56,0.16,1.85,8,33,Openweight,Upper Midcard
200,Chris Cruz,Impact,2022,3,450,1,0,0,1,0,0.36,3.14,0.88,11,31,Women's,Enhancement
201,Dante Lopez,MLW,2012,13,588,1,1,2,4,0,0.75,3.3,3.0,24,38,Heavyweight,Main Eventer
202,Nina Harrison,NJPW,2012,13,497,0,0,5,5,0,0.52,2.23,2.75,18,39,Heavyweight,Main Eventer
203,Sam Rivera,NWA,2006,19,590,3,2,0,5,0,0.64,1.47,1.9,21,48,Heavyweight,Upper Midcard
204,Sierra Stone,ROH,2006,19,157,3,0,2,5,0,0.36,4.19,1.36,28,46,Openweight,Upper Midcard
205,Ivy Costello,Stardom,2023,2,715,0,2,0,2,0,0.35,0.47,2.12,19,22,Openweight,Upper Midcard
206,Evan Fletcher,MLW,2014,11,243,2,3,3,8,0,0.58,1.96,2.7,9,36,Cruiserweight,Main Eventer
207,Dante Santos,NJPW,2004,21,738,1,3,2,6,0,0.26,4.72,1.56,24,45,Women's,Upper Midcard
208,Carlos Black,NJPW,2005,20,469,4,3,0,7,1,0.43,0.56,2.09,10,44,Junior Heavyweight,Upper Midcard
209,Blake Murphy,AEW,2012,13,96,4,1,4,9,0,0.65,0.93,0.94,8,43,Junior Heavyweight,Upper Midcard
210,Tony Reyes,ROH,2013,12,441,2,3,0,5,0,0.81,3.63,1.74,19,34,Cruiserweight,Main Eventer
211,Marcus Blade,CMLL,2009,16,415,2,3,2,7,0,0.48,4.14,2.28,19,34,Cruiserweight,Main Eventer
212,Sierra Knight,Impact,2022,3,500,2,1,3,6,0,0.39,3.51,1.72,18,24,Cruiserweight,Upper Midcard
213,Ivy Santos,Stardom,2012,13,126,4,1,4,9,0,0.32,3.86,0.09,23,36,Junior Heavyweight,Enhancement
214,Sakura Fletcher,AAA,2009,16,80,3,3,1,7,0,0.36,3.33,2.5,25,45,Junior Heavyweight,Main Eventer
215,Sakura Knight,NJPW,2015,10,420,4,3,4,11,1,0.83,3.54,2.84,19,37,Heavyweight,Main Eventer
216,Logan Rider,NJPW,2021,4,180,4,0,4,8,0,0.64,2.06,2.63,30,27,Junior Heavyweight,Main Eventer
217,Alex Storm,NJPW,2008,17,532,4,1,3,8,0,0.5,3.43,2.42,4,38,Women's,Main Eventer
218,Valentina Storm,AEW,2009,16,97,0,1,2,3,0,0.5,1.11,1.69,15,40,Heavyweight,Upper Midcard
219,Sakura Garcia,CMLL,2002,23,55,0,0,2,2,0,0.64,0.91,3.44,7,45,Openweight,Main Eventer
220,Charlotte Reyes,ROH,2010,15,446,3,1,3,7,0,0.32,3.32,1.38,23,41,Openweight,Upper Midcard
221,Sakura Morales,AAA,2013,12,14,1,1,2,4,0,0.73,0.41,0.36,27,36,Openweight,Main Eventer
222,Jordan Anderson,ROH,2003,22,696,3,2,4,9,0,0.46,0.66,1.23,14,44,Openweight,Upper Midcard
223,Aaron Watson,ROH,2019,6,96,1,2,0,3,0,0.28,1.93,0.49,12,33,Junior Heavyweight,Enhancement
224,Carlos Morales,PWG,2012,13,200,3,1,4,8,0,0.39,1.02,2.95,19,37,Heavyweight,Main Eventer
