wrestler_id,wrestler_name,brand,debut_year,years_active,total_matches,world_title_reigns,secondary_title_reigns,tag_title_reigns,total_title_reigns,current_champion,avg_matches_per_month,career_win_percentage,social_media_followers_millions,main_evented_ppv,age,weight_class,popularity_tier
48,Bronson Reed,SmackDown,2020,5,180,0,0,0,0,0,3.4,0.51,0.5,0,36,Heavyweight,Mid-Carder
49,Otis,RAW,2015,10,420,0,0,1,1,0,3.2,0.48,0.6,0,33,Heavyweight,Jobber
50,R-Truth,RAW,2000,25,950,0,1,2,3,0,2.8,0.4,1.1,1,52,Cruiserweight,Jobber
51,Tommaso Ciampa,RAW,2018,7,320,0,0,0,0,0,3.5,0.55,0.4,0,39,Heavyweight,Jobber
52,Dragon Lee,RAW,2023,2,70,0,0,0,0,0,3.6,0.53,0.3,0,29,Cruiserweight,Jobber
53,El Grande Americano,RAW,2024,1,15,0,0,0,0,0,2.5,0.45,0.1,0,28,Cruiserweight,Jobber
54,JC Mateo,SmackDown,2024,1,12,0,0,0,0,0,2.3,0.42,0.1,0,26,Heavyweight,Jobber
55,Trick Williams,NXT,2023,2,65,0,0,0,0,0,3.7,0.68,0.4,0,25,Heavyweight,Jobber
56,Nikki Cross,SmackDown,2016,9,300,0,0,0,0,0,3.1,0.47,0.5,0,35,Women's,Jobber
57,Nikki Bella,RAW,2007,16,350,0,0,0,0,0,2.5,0.52,3.5,3,41,Women's,Jobber
58,Alexa Bliss,SmackDown,2013,12,380,0,2,1,3,1,2.9,0.54,2,4,33,Women's,Jobber
59,Stephanie Vaquer,RAW,2024,1,20,0,0,0,0,0,3,0.65,0.2,0,30,Women's,Jobber
60,Giulia,SmackDown,2024,1,15,0,1,0,1,0,2.8,0.7,0.3,0,29,Women's,Jobber
61,Aleister Black,SmackDown,2016,7,280,0,0,0,0,0,3.3,0.58,0.8,2,39,Heavyweight,Mid-Carder
62,AJ Lee,RAW,2008,14,320,0,0,0,0,0,2.8,0.6,2.5,2,38,Women's,Main Eventer
63,Pat McAfee,SmackDown,2022,3,25,0,0,0,0,0,1.2,0.75,2,1,37,Heavyweight,Jobber
64,Paul Heyman,Manager,1987,38,50,0,0,0,0,0,0.3,0.3,1.5,15,59,Manager,Jobber
65,Triple H,Executive,1995,27,850,14,5,2,21,0,2.8,0.65,3,45,55,Heavyweight,Main Eventer
66,Uncle Howdy,SmackDown,2024,1,8,0,0,0,0,0,1.5,0.4,0.1,0,35,Heavyweight,Mid-Carder
67,Penta,RAW,2019,4,120,0,0,0,0,0,2.9,0.52,0.6,0,38,Heavyweight,Mid-Carder
68,Rey Fenix,SmackDown,2019,4,110,0,1,0,1,0,2.8,0.5,0.5,0,33,Cruiserweight,Mid-Carder
69,Rusev,RAW,2010,12,380,0,1,0,1,0,3,0.55,1.2,3,40,Heavyweight,Jobber
70,Omos,RAW,2020,5,120,0,0,0,0,0,2.5,0.65,0.7,0,30,Heavyweight,Jobber
71,Rey Mysterio,SmackDown,2002,23,1420,2,3,4,9,0,3.7,0.64,4.5,28,50,Cruiserweight,Main Eventer
72,Edge,RAW,1998,24,1180,11,5,14,30,0,3.1,0.68,3.8,38,51,Heavyweight,Main Eventer
73,Daniel Bryan,SmackDown,2010,15,890,5,2,1,8,0,3.4,0.67,3.2,24,43,Heavyweight,Main Eventer
74,Batista,SmackDown,2002,19,650,6,3,1,10,0,2.5,0.71,4,32,56,Heavyweight,Main Eventer
75,The Undertaker,RAW,1990,30,1650,7,6,6,19,0,2.8,0.76,5.5,55,59,Heavyweight,Main Eventer
76,Kane,SmackDown,1995,26,1580,1,12,12,25,0,3.2,0.58,2.8,22,57,Heavyweight,Main Eventer
77,Big Show,RAW,1999,24,1340,2,8,11,21,0,3,0.55,2.5,18,52,Heavyweight,Mid-Carder
78,Undertaker,RAW,1990,30,1650,7,6,6,19,0,2.8,0.76,5.5,55,59,Heavyweight,Main Eventer
79,Shawn Michaels,Executive,1988,26,1420,4,3,5,12,0,3.3,0.74,4.2,48,59,Heavyweight,Main Eventer
80,Bianca Belair,RAW,2016,9,420,2,2,2,6,0,4.1,0.69,2.4,11,35,Women's,Main Eventer
81,Raquel Rodriguez,SmackDown,2020,5,210,0,1,1,2,0,3.8,0.58,0.8,2,34,Women's,Mid-Carder
82,Shotzi,RAW,2019,6,280,0,0,1,1,0,3.6,0.51,0.6,1,32,Women's,Mid-Carder
83,Shayna Baszler,RAW,2017,8,380,0,1,2,3,0,3.5,0.62,1.1,4,44,Women's,Mid-Carder
84,Natalya,SmackDown,2008,17,890,0,1,1,2,0,3.1,0.56,1.9,8,42,Women's,Mid-Carder
85,Carmella,SmackDown,2013,12,460,0,1,1,2,0,3,0.53,1.4,5,37,Women's,Mid-Carder
86,Zelina Vega,RAW,2017,8,320,0,1,0,1,0,3.3,0.49,0.9,2,33,Women's,Jobber
87,Dakota Kai,RAW,2017,8,290,0,0,2,2,0,3.4,0.52,0.5,1,35,Women's,Jobber
88,Candice LeRae,SmackDown,2018,7,250,0,0,1,1,0,3.2,0.5,0.4,0,39,Women's,Jobber
89,Chelsea Green,SmackDown,2018,7,230,0,0,1,1,0,3.1,0.48,0.7,1,33,Women's,Jobber
90,Piper Niven,RAW,2019,6,200,0,0,1,1,0,3,0.54,0.3,0,33,Women's,Jobber
91,Angelo Dawkins,RAW,2019,6,365,0,0,3,3,0,3.9,0.59,1.2,2,36,Tag Team,Mid-Carder
92,Bobby Lashley,SmackDown,2005,18,920,3,2,1,6,0,3.6,0.66,2.3,16,48,Heavyweight,Main Eventer
93,MVP,RAW,2006,17,680,0,2,1,3,0,2.9,0.54,1.5,5,50,Heavyweight,Mid-Carder
94,Karrion Kross,SmackDown,2020,5,175,0,1,0,1,0,3.5,0.63,0.6,1,39,Heavyweight,Mid-Carder
95,Scarlett,SmackDown,2020,5,95,0,0,0,0,0,2.6,0.55,0.4,0,33,Women's,Jobber
96,Ludwig Kaiser,RAW,2020,5,185,0,0,1,1,0,3.4,0.56,0.3,0,34,Heavyweight,Mid-Carder
97,Giovanni Vinci,SmackDown,2021,4,140,0,0,1,1,0,3.3,0.52,0.2,0,33,Heavyweight,Jobber
98,Ivar,RAW,2018,7,340,0,0,2,2,0,3.5,0.57,0.5,1,41,Tag Team,Mid-Carder
99,Erik,RAW,2018,7,335,0,0,2,2,0,3.4,0.56,0.4,1,40,Tag Team,Mid-Carder
100,Braun Strowman,SmackDown,2015,10,580,1,2,1,4,0,3.8,0.68,2.7,12,41,Heavyweight,Main Eventer
101,Ricochet,RAW,2018,7,520,0,1,0,1,0,4.2,0.61,1.3,3,36,Cruiserweight,Mid-Carder
102,Andrade,SmackDown,2015,10,480,0,1,0,1,0,3.7,0.58,1.1,2,35,Heavyweight,Mid-Carder
103,Santos Escobar,SmackDown,2020,5,245,0,1,0,1,0,3.6,0.59,0.6,1,37,Cruiserweight,Mid-Carder
104,Legado del Fantasma,SmackDown,2021,4,180,0,0,1,1,0,3.3,0.53,0.3,0,29,Tag Team,Jobber
105,Joaquin Wilde,SmackDown,2021,4,175,0,0,1,1,0,3.2,0.52,0.2,0,35,Tag Team,Jobber
106,Cruz Del Toro,SmackDown,2021,4,170,0,0,1,1,0,3.1,0.51,0.2,0,28,Tag Team,Jobber
107,Pete Dunne,SmackDown,2016,9,440,0,1,1,2,0,3.6,0.62,0.8,3,40,Heavyweight,Mid-Carder
108,Butch,SmackDown,2016,9,440,0,1,1,2,0,3.6,0.62,0.8,3,40,Heavyweight,Mid-Carder
109,Ridge Holland,SmackDown,2020,5,190,0,0,0,0,0,3.4,0.54,0.3,0,31,Heavyweight,Jobber
110,Elton Prince,NXT,2022,3,85,0,0,1,1,0,3.2,0.58,0.2,0,29,Tag Team,Jobber
111,Kit Wilson,NXT,2022,3,82,0,0,1,1,0,3.1,0.57,0.2,0,28,Tag Team,Jobber
112,Axiom,NXT,2022,3,95,0,1,0,1,0,3.5,0.64,0.3,0,27,Cruiserweight,Jobber
113,Nathan Frazer,NXT,2021,4,125,0,0,1,1,0,3.4,0.6,0.3,0,26,Cruiserweight,Jobber
114,Grayson Waller,SmackDown,2021,4,165,0,0,0,0,0,3.8,0.56,0.6,1,34,Heavyweight,Mid-Carder
115,Austin Hayes,SmackDown,2022,3,110,0,0,0,0,0,3.6,0.53,0.4,0,28,Heavyweight,Jobber
116,Carmelo Hayes,SmackDown,2021,4,155,0,1,0,1,0,3.9,0.62,0.7,1,30,Heavyweight,Mid-Carder
117,Lyra Valkyria,NXT,2023,2,75,0,1,0,1,0,4,0.66,0.4,0,27,Women's,Jobber
118,Roxanne Perez,NXT,2022,3,105,0,1,0,1,0,4.1,0.69,0.5,0,22,Women's,Jobber
119,Cora Jade,NXT,2021,4,120,0,0,0,0,0,3.7,0.55,0.4,0,23,Women's,Jobber
120,Tatum Paxley,NXT,2022,3,90,0,0,0,0,0,3.5,0.52,0.2,0,26,Women's,Jobber
